Dam,River,Photo,Indicators,FSC,This Week,Last Week,Last Year
Duiwenhoks Dam,Duiwenhoks River,Photo,Indicators,6.2,100.3,100.3,100.0
Eikenhof Dam,Palmiet River,Photo,Indicators,28.9,101.3,102.1,98.7
Elandskloof Dam,Elands River,Photo,Indicators,11.0,100.7,100.3,72.6
Ernest Robertson Dam,Groot Brak River,Photo,Indicators,0.5,100.4,100.4,71.6
Floriskraal Dam,Buffels River,Photo,Indicators,46.7,100.3,100.5,54.7
Gamka Dam,Gamka River,Photo,Indicators,1.8,100.1,99.8,43.4
Gamkapoort Dam,Gamka River,Photo,Indicators,35.8,101.7,101.7,47.9
Garden Route Dam,Swart River,Photo,Indicators,12.5,95.3,94.6,82.3
Haarlem Dam,Groot River,Photo,Indicators,4.7,101.0,101.4,73.7
Hartebeestkuil Dam,Hartenbos River,Photo,Indicators,7.2,99.8,99.8,67.0
Kammanassie Dam,Kammanassie River,Photo,Indicators,34.4,100.2,100.5,82.0
Keerom Dam,Nuy River,Photo,Indicators,9.8,88.4,#88.4,#100.0
Klipberg Dam,Konings River,Photo,Indicators,2.0,101.2,101.6,61.1
Klipheuwel Dam,Tributary of Hartenbos River,Photo,Indicators,4.5,22.9,24.8,25.2
Korentepoort Dam,Korinte River,Photo,Indicators,8.1,100.3,96.3,99.3
Kwaggaskloof Dam,Doorn River,Photo,Indicators,169.5,60.9,59.6,66.8
Lakenvallei Dam,Sanddrifskloof River,Photo,Indicators,10.5,100.1,100.1,97.4
Leeugamka Dam,Leeu River,Photo,Indicators,13.5,100.3,100.3,47.2
Miertjieskraal Dam,Brand River,Photo,Indicators,1.5,99.8,99.7,80.3
Misverstand Dam,Berg River,Photo,Indicators,5.7,109.6,115.0,122.2
Oukloof Dam,Cordiers River,Photo,Indicators,4.3,100.1,100.1,99.5
Pietersfontein Dam,Pietersfontein River,Photo,Indicators,2.0,100.3,100.5,80.0
Poortjieskloof Dam,Groot River,Photo,Indicators,9.8,100.0,100.3,87.8
Prinsrivier Dam,Prins River,Photo,Indicators,2.3,100.2,#100.2,41.5
Roode Els Berg Dam,Sanddrifskloof River,Photo,Indicators,7.8,97.4,97.8,90.1
Roodefontein Dam,Piesang River,Photo,Indicators,2.0,96.2,96.8,56.8
Steenbras-Lower Dam,Steenbras River,Photo,Indicators,33.9,52.3,54.2,76.9
Steenbras-Upper Dam,Steenbras River,Photo,Indicators,31.9,99.1,100.2,101.8
Stettynskloof Dam,Holsloot River,Photo,Indicators,14.8,100.6,100.5,101.3
Stompdrift Dam,Olifants River,Photo,Indicators,46.3,100.1,100.4,77.3
Theewaterskloof Dam,Riviersonderend River,Photo,Indicators,479.3,77.9,78.6,79.4
Tierkloof Dam,Tributary of Seweweekspoort River,Photo,Indicators,0.1,100.0,100.0,67.5
Voelvlei Dam,Voelvlei River,Photo,Indicators,158.6,61.8,62.1,85.4
Wemmershoek Dam,Wemmers River,Photo,Indicators,58.8,99.3,100.0,84.1
Wolwedans Dam,Groot Brak River,Photo,Indicators,24.7,100.2,100.4,97.5
Total,Total,Total,Total,1918.2,80.1,79.7,79.0
